caldt,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
04/30/2013,0.047396,0.038864,0.017563,0.009879,0.005781,0.001233,0.000714,0.000165,0.000037,-0.001040
05/31/2013,-0.069915,-0.057787,-0.031221,-0.023619,-0.014887,-0.001478,-0.000074,0.000093,0.000012,0.001780
06/28/2013,-0.039381,-0.034452,-0.029891,-0.024590,-0.016287,-0.000671,-0.000038,0.000053,0.000013,0.002400
07/31/2013,-0.022609,-0.016208,-0.004527,0.000936,0.002921,0.001729,0.000688,0.000048,0.000009,0.000394
08/30/2013,-0.014221,-0.011093,-0.012869,-0.013279,-0.009388,-0.001446,-0.000054,0.000072,0.000009,0.001203
09/30/2013,0.005859,0.008511,0.017924,0.019400,0.014959,0.002603,0.000888,0.000040,0.000008,0.001163
10/31/2013,0.011250,0.011196,0.006915,0.005560,0.005137,0.000952,0.000122,-0.000018,0.000017,-0.002575
11/29/2013,-0.027712,-0.022515,-0.012242,-0.004939,0.000810,0.000946,0.000042,0.000063,0.000032,-0.002042
12/31/2013,-0.024415,-0.020537,-0.021754,-0.019825,-0.015095,-0.001519,0.000129,0.000122,0.000023,-0.000086
01/31/2014,0.071553,0.057749,0.035655,0.023775,0.014623,0.001843,0.000323,0.000149,0.000012,0.003720
02/28/2014,0.006347,0.006708,0.004406,0.002768,0.001652,0.001181,0.000266,-0.000023,0.000045,0.003698
03/31/2014,0.007647,0.004409,-0.003935,-0.009167,-0.007456,-0.000862,0.000359,0.000096,0.000028,0.006440
04/30/2014,0.020943,0.017718,0.008403,0.007413,0.005358,0.001172,0.000680,0.000053,0.000015,0.003297
05/30/2014,0.029472,0.025147,0.019118,0.014396,0.009674,0.001989,-0.000006,0.000029,0.000008,0.003493
06/30/2014,-0.003218,-0.003278,-0.002418,-0.002660,-0.001924,-0.000501,0.000004,0.000042,0.000020,0.001862
07/31/2014,0.011048,0.008294,-0.000160,-0.003625,-0.003838,-0.000246,0.000281,0.000047,0.000013,-0.000390
08/29/2014,0.049426,0.038171,0.018782,0.014499,0.008749,0.001195,0.000623,0.000022,0.000003,-0.001671
09/30/2014,-0.019667,-0.015959,-0.010631,-0.008045,-0.004205,-0.000068,0.000191,0.000047,0.000004,0.000753
10/31/2014,0.028148,0.027575,0.013129,0.013729,0.009374,0.002620,0.000190,0.000001,0.000012,-0.002512
11/28/2014,0.036108,0.029607,0.014195,0.012307,0.010032,0.001547,0.000189,0.000034,-0.000001,-0.005399
12/31/2014,0.030163,0.028092,0.001414,-0.003730,-0.004644,-0.002899,-0.000691,0.000001,0.000005,-0.005670
01/30/2015,0.114362,0.075035,0.042437,0.036325,0.025385,0.005300,0.001475,0.000119,0.000013,-0.004706
02/27/2015,-0.068334,-0.053983,-0.025087,-0.021312,-0.014879,-0.002444,-0.000415,-0.000005,-0.000021,0.004343
03/31/2015,0.013548,0.013056,0.008166,0.008840,0.008815,0.002385,0.000509,-0.000023,-0.000008,0.005952
04/30/2015,-0.039444,-0.025514,-0.007957,-0.003749,-0.001265,0.000965,0.000592,0.000080,0.000029,0.002033
05/29/2015,-0.030022,-0.020597,-0.003817,-0.003667,-0.000934,0.000521,0.000272,0.000038,-0.000005,0.005097
06/30/2015,-0.044036,-0.027738,-0.018369,-0.011399,-0.005355,0.000394,-0.000054,0.000029,0.000004,0.003503
07/31/2015,0.046044,0.039302,0.015146,0.013578,0.007164,0.000750,0.000121,0.000006,-0.000037,0.000067
08/31/2015,-0.010114,-0.007340,-0.001192,-0.000304,0.000371,-0.000930,0.000064,0.000136,0.000027,-0.001416
09/30/2015,0.024379,0.024734,0.017819,0.015837,0.012089,0.003996,0.001163,0.000022,-0.000006,-0.001557
10/30/2015,-0.011085,-0.007161,-0.007517,-0.008030,-0.005626,-0.001092,-0.000404,-0.000129,-0.000027,-0.000450
11/30/2015,-0.009328,-0.005630,-0.003500,-0.004412,-0.004427,-0.002638,-0.001749,0.000089,0.000020,-0.002111
12/31/2015,-0.006000,-0.004583,-0.003769,-0.004007,-0.002052,-0.000921,0.000003,0.000249,0.000103,-0.003417
01/29/2016,0.057287,0.049933,0.029750,0.030265,0.022615,0.006105,0.002525,-0.000057,0.000037,0.001653
02/29/2016,0.029670,0.028198,0.016709,0.010797,0.006527,0.001411,0.000392,0.000341,0.000205,0.000823
03/31/2016,0.002899,0.001023,-0.001442,0.000848,0.003650,0.001865,0.001369,0.000474,0.000190,0.004306
